name,sku,price,description,stock_level,image_path,main_category,subcategory
Professional Claw Hammer 16oz,HTHM001600,28,"High-quality steel claw hammer with comfortable fiberglass handle, perfect for framing and general construction work.",25,hand_tools_hammers_professional_claw_hammer_16oz_20250620_181100.png,HAND TOOLS,HAMMERS
Ball Peen Hammer 12oz,HTHM031200,18,"Classic ball peen hammer for metalworking, riveting, and shaping metal with hardened striking surfaces.",44,hand_tools_hammers_ball_peen_hammer_12oz_20250620_181241.png,HAND TOOLS,HAMMERS
Finishing Hammer 13oz,HTHM041300,25,Lightweight finishing hammer with smooth face for trim work and delicate construction tasks.,75,hand_tools_hammers_finishing_hammer_13oz_20250620_181314.png,HAND TOOLS,HAMMERS
Sledge Hammer 3lb,HTHM050300,42,"Heavy-duty sledge hammer for demolition, driving stakes, and breaking concrete with steel handle.",8,hand_tools_hammers_sledge_hammer_3lb_20250620_181350.png,HAND TOOLS,HAMMERS
Phillips Screwdriver Set,HTSD010001,16,Complete Phillips head screwdriver set with magnetic tips and comfortable cushion grips in multiple sizes.,79,hand_tools_screwdrivers_phillips_screwdriver_set_20250620_181424.png,HAND TOOLS,SCREWDRIVERS
Flathead Screwdriver Set,HTSD020001,14,Professional flathead screwdrivers with precision-machined tips and ergonomic handles for various applications.,95,hand_tools_screwdrivers_flathead_screwdriver_set_20250620_181457.png,HAND TOOLS,SCREWDRIVERS
Precision Screwdriver Kit,HTSD030001,22,"Micro precision screwdriver set for electronics, eyeglasses, and small appliance repair work.",30,hand_tools_screwdrivers_precision_screwdriver_kit_20250620_181532.png,HAND TOOLS,SCREWDRIVERS
Insulated Screwdriver Set,HTSD041000,32,Electrician's insulated screwdrivers rated for 1000V with dual-material handles for electrical safety.,80,hand_tools_screwdrivers_insulated_screwdriver_set_20250620_181606.png,HAND TOOLS,SCREWDRIVERS
Ratcheting Screwdriver,HTSD050001,26,Multi-bit ratcheting screwdriver with reversible mechanism and magnetic bit storage in handle.,44,hand_tools_screwdrivers_ratcheting_screwdriver_20250620_181640.png,HAND TOOLS,SCREWDRIVERS
Combination Wrench Set SAE,HTWR000001,45,Standard SAE combination wrenches from 1/4-inch to 1-inch with chrome-vanadium steel construction.,89,hand_tools_wrenches_combination_wrench_set_sae_20250620_181718.png,HAND TOOLS,WRENCHES
Metric Wrench Set,HTWR000002,49,Complete metric combination wrench set from 8mm to 24mm with polished chrome finish.,18,hand_tools_wrenches_metric_wrench_set_20250620_181758.png,HAND TOOLS,WRENCHES
Adjustable Wrench 10-inch,HTWR000003,21,Professional adjustable wrench with parallel jaws and comfortable grip for versatile applications.,81,hand_tools_wrenches_adjustable_wrench_10_inch_20250620_181831.png,HAND TOOLS,WRENCHES
Pipe Wrench Set,HTWR000004,60,Heavy-duty pipe wrenches for plumbing work with serrated jaws and cast iron construction.,75,hand_tools_wrenches_pipe_wrench_set_20250620_181904.png,HAND TOOLS,WRENCHES
Torque Wrench 1/2-drive,HTWR000005,108,Calibrated torque wrench with click mechanism for precise bolt tightening to specifications.,56,hand_tools_wrenches_torque_wrench_12_drive_20250620_181941.png,HAND TOOLS,WRENCHES
Needle-Nose Pliers 6-inch,HTPL000006,15,Long-nose pliers with serrated jaws for gripping small objects and working in tight spaces.,71,hand_tools_pliers_needle_nose_pliers_6_inch_20250621_093109.png,HAND TOOLS,PLIERS
Lineman's Pliers 9-inch,HTPL000007,25,Heavy-duty lineman's pliers with cutting edges and insulated grips for electrical work.,18,hand_tools_pliers_linemans_pliers_9_inch_20250620_182023.png,HAND TOOLS,PLIERS
Locking Pliers 10-inch,HTPL000008,20,Vise-grip locking pliers with adjustable jaw and release lever for secure clamping action.,96,hand_tools_pliers_locking_pliers_10_inch_20250620_182057.png,HAND TOOLS,PLIERS
Wire Stripping Pliers,HTPL000009,29,Precision wire strippers with multiple gauge settings and comfortable spring-loaded handles.,20,hand_tools_pliers_wire_stripping_pliers_20250620_182131.png,HAND TOOLS,PLIERS
Coping Saw,HTHS000010,13,Fine-blade coping saw with adjustable frame for intricate curves and detailed woodworking cuts.,25,hand_tools_hand_saws_coping_saw_20250621_110057.png,HAND TOOLS,HAND SAWS
Wood Rasp Set,HTFR000011,14,Coarse wood rasps for rapid material removal and shaping of wood surfaces.,69,hand_tools_files_&_rasps_wood_rasp_set_20250621_110701.png,HAND TOOLS,FILES & RASPS
Riffler File Set,HTFR000012,27,Curved riffler files with various profiles for sculptural work and hard-to-reach areas.,54,hand_tools_files_&_rasps_riffler_file_set_20250621_124453.png,HAND TOOLS,FILES & RASPS
Tape Measure 25-foot,HTMT000013,14,Heavy-duty tape measure with standout blade and magnetic tip for one-person measuring.,50,hand_tools_measuring_tools_tape_measure_25_foot_20250621_110945.png,HAND TOOLS,MEASURING TOOLS
Speed Square 7-inch,HTMT000014,10,Aluminum speed square for quick angle cuts and layout work with degree markings.,42,hand_tools_measuring_tools_speed_square_7_inch_20250621_111029.png,HAND TOOLS,MEASURING TOOLS
Level 24-inch,HTMT000015,27,Precision aluminum level with three vials for accurate horizontal and vertical alignment.,100,hand_tools_measuring_tools_level_24_inch_20250621_111113.png,HAND TOOLS,MEASURING TOOLS
Folding Rule 6-foot,HTMT000016,17,Traditional wooden folding rule with brass hinges for precise inside measurements.,1,hand_tools_measuring_tools_folding_rule_6_foot_20250621_111156.png,HAND TOOLS,MEASURING TOOLS
Digital Caliper 6-inch,HTMT000017,42,Electronic digital caliper for precise measurements to 0.001-inch accuracy with LCD display.,79,hand_tools_measuring_tools_digital_caliper_6_inch_20250621_111241.png,HAND TOOLS,MEASURING TOOLS
Metric Hex Key Set,HTAK000018,12,Complete metric hex key set from 1.5mm to 10mm in convenient folding case.,19,hand_tools_allen_keys_metric_hex_key_set_20250621_111653.png,HAND TOOLS,ALLEN KEYS
SAE Hex Key Set,HTAK000019,12,Standard SAE hex key set from 1/16-inch to 3/8-inch with chrome-vanadium steel construction.,52,hand_tools_allen_keys_sae_hex_key_set_20250621_111755.png,HAND TOOLS,ALLEN KEYS
Ball-End Hex Set,HTAK000020,17,Ball-end hex keys allowing angled access up to 25 degrees for hard-to-reach fasteners.,87,hand_tools_allen_keys_ball_end_hex_set_20250621_093244.png,HAND TOOLS,ALLEN KEYS
T-Handle Hex Set,HTAK000021,27,T-handle hex keys with comfortable grips for high-torque applications and ease of use.,47,hand_tools_allen_keys_t_handle_hex_set_20250621_124935.png,HAND TOOLS,ALLEN KEYS
Long Arm Hex Set,HTAK000022,15,Extra-long hex keys for reaching recessed bolts and deep socket applications.,6,hand_tools_allen_keys_long_arm_hex_set_20250621_111919.png,HAND TOOLS,ALLEN KEYS
Cordless Drill 18V Li-Ion,PTDR000001,115,"Professional cordless drill with lithium-ion battery, variable speed control, and LED work light.",3,power_tools_drills_cordless_drill_18v_li_ion_20250620_182306.png,POWER TOOLS,DRILLS
Hammer Drill 1/2-inch,PTDR000002,160,Corded hammer drill with percussion action for drilling into concrete and masonry materials.,77,power_tools_drills_hammer_drill_12_inch_20250620_182340.png,POWER TOOLS,DRILLS
Right Angle Drill,PTDR000003,138,Compact right-angle drill for tight spaces with 3/8-inch chuck and reversible motor.,5,power_tools_drills_right_angle_drill_20250620_182416.png,POWER TOOLS,DRILLS
Impact Drill 20V,PTDR000004,122,High-torque impact drill with brushless motor for efficient drilling and driving applications.,52,power_tools_drills_impact_drill_20v_20250620_182458.png,POWER TOOLS,DRILLS
Benchtop Drill Press,PTDR000005,265,Stationary drill press with adjustable table and depth stop for precision drilling operations.,38,power_tools_drills_benchtop_drill_press_20250620_182531.png,POWER TOOLS,DRILLS
Circular Saw 7-1/4 inch,PTCS000006,170,Powerful circular saw with carbide-tipped blade for cutting lumber and sheet materials.,49,power_tools_circular_saws_circular_saw_7_14_inch_20250620_182610.png,POWER TOOLS,CIRCULAR SAWS
Cordless Circular Saw 6-1/2,PTCS000007,210,Battery-powered circular saw with lightweight design and laser guide for portable cutting.,30,power_tools_circular_saws_cordless_circular_saw_6_12_20250620_182648.png,POWER TOOLS,CIRCULAR SAWS
Worm Drive Saw,PTCS000008,250,Heavy-duty worm drive saw with superior torque for demanding construction applications.,99,power_tools_circular_saws_worm_drive_saw_20250620_182721.png,POWER TOOLS,CIRCULAR SAWS
Track Saw,PTCS000009,350,Precision track saw system for perfectly straight cuts in plywood and large panels.,26,power_tools_circular_saws_track_saw_20250620_182757.png,POWER TOOLS,CIRCULAR SAWS
Mini Circular Saw 4-1/2,PTCS000010,90,Compact circular saw for detailed work and cutting in confined spaces.,99,power_tools_circular_saws_mini_circular_saw_4_12_20250620_182834.png,POWER TOOLS,CIRCULAR SAWS
Orbital Sander 1/4 Sheet,PTSA000011,67,Variable-speed orbital sander with dust collection system for smooth wood finishing.,43,power_tools_sanders_orbital_sander_14_sheet_20250620_182913.png,POWER TOOLS,SANDERS
Random Orbit Sander 5-inch,PTSA000012,92,Random orbital action sander with hook-and-loop pad system for swirl-free finishes.,45,power_tools_sanders_random_orbit_sander_5_inch_20250620_182949.png,POWER TOOLS,SANDERS
Palm Sander,PTSA000013,52,Compact palm sander with ergonomic design for detail work and tight corners.,27,power_tools_sanders_palm_sander_20250621_105614.png,POWER TOOLS,SANDERS
Mouse Sander,PTSA000014,40,Detail mouse sander with triangular pad for sanding in corners and intricate shapes.,26,power_tools_sanders_mouse_sander_20250620_190532.png,POWER TOOLS,SANDERS
Drywall Sander,PTSA000015,122,Long-reach drywall sander with vacuum attachment for dust-free wall preparation.,21,power_tools_sanders_drywall_sander_20250620_190606.png,POWER TOOLS,SANDERS
Variable Speed Jigsaw,PTJS000016,92,Precision jigsaw with orbital action and variable speed control for curved and straight cuts.,73,power_tools_jigsaws_variable_speed_jigsaw_20250620_190639.png,POWER TOOLS,JIGSAWS
Cordless Jigsaw 20V,PTJS000017,107,Battery-powered jigsaw with tool-free blade change and LED light for portable cutting.,88,power_tools_jigsaws_cordless_jigsaw_20v_20250620_190713.png,POWER TOOLS,JIGSAWS
Barrel Grip Jigsaw,PTJS000018,77,Compact barrel grip jigsaw for one-handed operation and improved maneuverability.,20,power_tools_jigsaws_barrel_grip_jigsaw_20250620_190747.png,POWER TOOLS,JIGSAWS
Heavy Duty Jigsaw,PTJS000019,117,Professional-grade jigsaw with powerful motor for cutting thick materials and metal.,65,power_tools_jigsaws_heavy_duty_jigsaw_20250620_190821.png,POWER TOOLS,JIGSAWS
Scrolling Jigsaw,PTJS000020,137,Precision scrolling jigsaw with rotating barrel for intricate cuts without turning workpiece.,99,power_tools_jigsaws_scrolling_jigsaw_20250620_190855.png,POWER TOOLS,JIGSAWS
Angle Grinder 4-1/2 inch,PTAG000021,82,"Compact angle grinder for cutting, grinding, and polishing metal and masonry.",78,power_tools_angle_grinders_angle_grinder_4_12_inch_20250620_190928.png,POWER TOOLS,ANGLE GRINDERS
Large Angle Grinder 7-inch,PTAG000022,112,Heavy-duty 7-inch angle grinder for aggressive material removal and cutting.,63,power_tools_angle_grinders_large_angle_grinder_7_inch_20250620_191002.png,POWER TOOLS,ANGLE GRINDERS
Cordless Angle Grinder,PTAG000023,127,Battery-powered angle grinder with brushless motor for extended runtime and power.,69,power_tools_angle_grinders_cordless_angle_grinder_20250621_105657.png,POWER TOOLS,ANGLE GRINDERS
Variable Speed Grinder,PTAG000024,102,Electronic angle grinder with variable speed control for different materials and applications.,74,power_tools_angle_grinders_variable_speed_grinder_20250620_191046.png,POWER TOOLS,ANGLE GRINDERS
Cut-Off Tool 3-inch,PTAG000025,52,Compact cut-off tool for precision cutting in tight spaces and detail work.,48,power_tools_angle_grinders_cut_off_tool_3_inch_20250621_112003.png,POWER TOOLS,ANGLE GRINDERS
Reciprocating Saw Corded,PTRS000026,107,Powerful corded reciprocating saw for demolition and rough cutting applications.,91,power_tools_reciprocating_saws_reciprocating_saw_corded_20250621_125020.png,POWER TOOLS,RECIPROCATING SAWS
Cordless Recip Saw 18V,PTRS000027,132,Battery-powered reciprocating saw with tool-free blade change and variable speed.,60,power_tools_reciprocating_saws_cordless_recip_saw_18v_20250621_105759.png,POWER TOOLS,RECIPROCATING SAWS
Compact Recip Saw,PTRS000028,92,Lightweight compact reciprocating saw for overhead work and tight access cutting.,24,power_tools_reciprocating_saws_compact_recip_saw_20250621_125104.png,POWER TOOLS,RECIPROCATING SAWS
Multi-Tool Oscillating,PTRS000029,85,"Oscillating multi-tool with various attachments for cutting, sanding, and scraping.",36,power_tools_reciprocating_saws_multi_tool_oscillating_20250621_112248.png,POWER TOOLS,RECIPROCATING SAWS
Fixed Base Router 1-3/4 HP,PTRT000030,135,Precision fixed base router with micro-adjustment and dust collection for edge work.,8,power_tools_routers_fixed_base_router_1_34_hp_20250621_112331.png,POWER TOOLS,ROUTERS
Plunge Router 2-1/4 HP,PTRT000031,170,Variable-speed plunge router with depth adjustment for dadoes and mortises.,43,power_tools_routers_plunge_router_2_14_hp_20250620_191136.png,POWER TOOLS,ROUTERS
Trim Router 1 HP,PTRT000032,90,Compact trim router with comfortable grip for edge profiling and laminate trimming.,64,power_tools_routers_trim_router_1_hp_20250620_191212.png,POWER TOOLS,ROUTERS
Router Table Combo,PTRT000033,265,Complete router table system with fence and miter gauge for stationary routing.,95,power_tools_routers_router_table_combo_20250620_191246.png,POWER TOOLS,ROUTERS
Cordless Router 18V,PTRT000034,195,Battery-powered router with LED light and variable speed for portable woodworking.,63,power_tools_routers_cordless_router_18v_20250620_191321.png,POWER TOOLS,ROUTERS
Impact Driver 18V,PTID000035,100,High-torque impact driver with hex chuck for driving screws and bolts efficiently.,100,power_tools_impact_drivers_impact_driver_18v_20250620_191355.png,POWER TOOLS,IMPACT DRIVERS
Brushless Impact Driver,PTID000036,122,Brushless motor impact driver with extended battery life and reduced maintenance.,30,power_tools_impact_drivers_brushless_impact_driver_20250620_191428.png,POWER TOOLS,IMPACT DRIVERS
Compact Impact Driver,PTID000037,87,Lightweight compact impact driver for overhead work and tight spaces.,94,power_tools_impact_drivers_compact_impact_driver_20250620_191504.png,POWER TOOLS,IMPACT DRIVERS
Impact Wrench 1/2-inch,PTID000038,137,Powerful impact wrench with square drive for automotive and heavy-duty applications.,3,power_tools_impact_drivers_impact_wrench_12_inch_20250620_191538.png,POWER TOOLS,IMPACT DRIVERS
Right Angle Impact,PTID000039,115,Right-angle impact driver for driving fasteners in confined spaces and corners.,4,power_tools_impact_drivers_right_angle_impact_20250620_191613.png,POWER TOOLS,IMPACT DRIVERS
Belt Sander 3x21 inch,PTBS000040,122,Professional belt sander for aggressive material removal and surface preparation.,55,power_tools_belt_sanders_belt_sander_3x21_inch_20250621_112415.png,POWER TOOLS,BELT SANDERS
Variable Speed Belt Sander,PTBS000041,137,Electronic belt sander with variable speed control for different materials.,66,power_tools_belt_sanders_variable_speed_belt_sander_20250620_191702.png,POWER TOOLS,BELT SANDERS
Compact Belt Sander 3x18,PTBS000042,100,Lightweight belt sander with front handle for improved control and comfort.,28,power_tools_belt_sanders_compact_belt_sander_3x18_20250620_191738.png,POWER TOOLS,BELT SANDERS
File Belt Sander,PTBS000043,155,Narrow belt sander for detailed work and sanding in grooves and contours.,54,power_tools_belt_sanders_file_belt_sander_20250620_191812.png,POWER TOOLS,BELT SANDERS
Stationary Belt Sander,PTBS000044,225,Benchtop belt sander with tilting table for precision edge sanding and sharpening.,40,power_tools_belt_sanders_stationary_belt_sander_20250620_191846.png,POWER TOOLS,BELT SANDERS
Compound Miter Saw 10-inch,PTMS000045,275,Precision compound miter saw for accurate crosscuts and miter cuts with laser guide.,68,power_tools_miter_saws_compound_miter_saw_10_inch_20250620_191922.png,POWER TOOLS,MITER SAWS
Sliding Miter Saw 12-inch,PTMS000046,475,Dual-bevel sliding compound miter saw for cutting wide boards and crown molding.,37,power_tools_miter_saws_sliding_miter_saw_12_inch_20250620_191957.png,POWER TOOLS,MITER SAWS
Cordless Miter Saw 10-inch,PTMS000047,365,Battery-powered miter saw for portable precision cutting without power cords.,77,power_tools_miter_saws_cordless_miter_saw_10_inch_20250620_192030.png,POWER TOOLS,MITER SAWS
Basic Miter Saw 10-inch,PTMS000048,200,Simple miter saw with manual miter adjustment and fence system for basic cuts.,75,power_tools_miter_saws_basic_miter_saw_10_inch_20250620_192105.png,POWER TOOLS,MITER SAWS
Miter Saw Stand,PTMS000049,115,Universal miter saw stand with extensions and folding legs for portable work setup.,84,power_tools_miter_saws_miter_saw_stand_20250620_192140.png,POWER TOOLS,MITER SAWS
Premium Interior Latex Flat,PFIP000001,40,"High-quality flat interior paint with excellent coverage and hide, perfect for ceilings and low-traffic areas.",19,paint_&_finishes_interior_paint_premium_interior_latex_flat_20250620_192214.png,PAINT & FINISHES,INTERIOR PAINT
Interior Eggshell Paint,PFIP000002,44,"Durable eggshell finish paint with subtle sheen, ideal for living rooms and bedrooms with easy cleanup.",80,paint_&_finishes_interior_paint_interior_eggshell_paint_20250620_192249.png,PAINT & FINISHES,INTERIOR PAINT
Interior Semi-Gloss Paint,PFIP000003,47,"Washable semi-gloss interior paint for kitchens, bathrooms, and trim work with moisture resistance.",2,paint_&_finishes_interior_paint_interior_semi_gloss_paint_20250620_192336.png,PAINT & FINISHES,INTERIOR PAINT
Zero VOC Interior Paint,PFIP000004,52,Environmentally friendly zero-VOC paint for healthy indoor air quality in all living spaces.,25,paint_&_finishes_interior_paint_zero_voc_interior_paint_20250620_192411.png,PAINT & FINISHES,INTERIOR PAINT
One-Coat Interior Paint,PFIP000005,50,High-hide one-coat paint formula that covers most colors in a single application for time savings.,47,paint_&_finishes_interior_paint_one_coat_interior_paint_20250620_192445.png,PAINT & FINISHES,INTERIOR PAINT
Exterior Latex Paint Satin,PFEP000006,50,"Weather-resistant exterior paint with satin finish for siding, trim, and outdoor surfaces.",93,paint_&_finishes_exterior_paint_exterior_latex_paint_satin_20250620_192519.png,PAINT & FINISHES,EXTERIOR PAINT
Exterior Acrylic Paint,PFEP000007,57,Premium acrylic exterior paint with fade resistance and superior adhesion for long-lasting protection.,74,paint_&_finishes_exterior_paint_exterior_acrylic_paint_20250620_192554.png,PAINT & FINISHES,EXTERIOR PAINT
Exterior Primer-Paint Combo,PFEP000008,53,All-in-one primer and paint system for bare wood and previously painted exterior surfaces.,10,paint_&_finishes_exterior_paint_exterior_primer_paint_combo_20250620_192632.png,PAINT & FINISHES,EXTERIOR PAINT
Elastomeric Exterior Paint,PFEP000009,65,Flexible elastomeric paint for stucco and masonry that bridges hairline cracks and prevents water penetration.,14,paint_&_finishes_exterior_paint_elastomeric_exterior_paint_20250620_192706.png,PAINT & FINISHES,EXTERIOR PAINT
Deck and Fence Stain,PFEP000010,42,"Penetrating wood stain with UV protection for decks, fences, and outdoor wood structures.",76,paint_&_finishes_exterior_paint_deck_and_fence_stain_20250620_192740.png,PAINT & FINISHES,EXTERIOR PAINT
Universal Bonding Primer,PFPR000011,32,"High-adhesion primer for all surfaces including wood, metal, drywall, and previously painted surfaces.",96,paint_&_finishes_primer_universal_bonding_primer_20250620_192814.png,PAINT & FINISHES,PRIMER
Stain-Blocking Primer,PFPR000012,40,"Heavy-duty primer that blocks water stains, crayon marks, and other discoloration from bleeding through.",42,paint_&_finishes_primer_stain_blocking_primer_20250620_192849.png,PAINT & FINISHES,PRIMER
Metal Primer,PFPR000013,36,Rust-inhibitive primer specifically formulated for ferrous and non-ferrous metal surfaces.,31,paint_&_finishes_primer_metal_primer_20250620_192924.png,PAINT & FINISHES,PRIMER
Drywall Primer,PFPR000014,29,Fast-drying primer designed for new drywall with excellent sealing properties and quick recoat time.,42,paint_&_finishes_primer_drywall_primer_20250620_192959.png,PAINT & FINISHES,PRIMER
Masonry Primer,PFPR000015,38,"Alkali-resistant primer for concrete, stucco, and other alkaline masonry surfaces.",28,paint_&_finishes_primer_masonry_primer_20250620_193033.png,PAINT & FINISHES,PRIMER
Synthetic Brush Set,PFBR000016,16,Professional synthetic bristle brushes for latex paints with excellent paint pickup and smooth finish.,86,paint_&_finishes_brushes_synthetic_brush_set_20250620_193107.png,PAINT & FINISHES,BRUSHES
Natural Bristle Brush Set,PFBR000017,23,Traditional natural bristle brushes for oil-based paints and stains with superior flow and leveling.,40,paint_&_finishes_brushes_natural_bristle_brush_set_20250620_193149.png,PAINT & FINISHES,BRUSHES
Angled Brush Set,PFBR000018,20,Precision angled brushes for cutting in edges and detail work with comfortable ergonomic handles.,28,paint_&_finishes_brushes_angled_brush_set_20250620_193229.png,PAINT & FINISHES,BRUSHES
Foam Brush Set,PFBR000019,9,"Disposable foam brushes for small projects, touch-ups, and applying stains and polyurethane.",8,paint_&_finishes_brushes_foam_brush_set_20250620_193303.png,PAINT & FINISHES,BRUSHES
Artist Detail Brush Set,PFBR000020,13,"Fine detail brushes for decorative painting, trim work, and artistic applications with precise control.",55,paint_&_finishes_brushes_artist_detail_brush_set_20250620_193337.png,PAINT & FINISHES,BRUSHES
Roller Frame 9-inch,PFRL000021,10,Heavy-duty roller frame with threaded handle attachment and cage design for various cover types.,90,paint_&_finishes_rollers_roller_frame_9_inch_20250620_193410.png,PAINT & FINISHES,ROLLERS
Microfiber Roller Covers,PFRL000022,14,High-quality microfiber roller covers for smooth finishes with minimal lint and excellent paint capacity.,57,paint_&_finishes_rollers_microfiber_roller_covers_20250620_193446.png,PAINT & FINISHES,ROLLERS
Nap Roller Cover Set,PFRL000023,12,Assorted nap roller covers from 1/4-inch to 1-inch for different surface textures and paint types.,52,paint_&_finishes_rollers_nap_roller_cover_set_20250620_193520.png,PAINT & FINISHES,ROLLERS
